i,j,distance,min,max
67,2495,447,0,552
4,985,442,0,556
4,1113,444,0,556
985,1113,437,0,556
920,2484,425,0,557
138,276,0,0,560
260,2730,449,0,568
2233,2253,463,0,573
2233,2898,460,0,573
2253,2898,449,0,573
2610,2866,448,0,580
1218,2544,455,0,584
1218,3077,466,0,584
2544,3077,456,0,584
96,476,470,0,585
151,1713,464,0,586
151,2299,480,0,586
1713,2299,476,0,586
1741,2405,484,0,591
206,2329,463,0,594
206,2477,469,0,594
2329,2477,460,0,594
1095,1124,470,0,597
1084,2746,487,0,608
10,248,492,0,614
10,1035,499,0,614
248,1035,494,0,614
19,2037,482,0,615
36,2680,490,0,616
2293,2536,492,0,617
27,1784,498,0,618
27,2080,506,0,618
1784,2080,504,0,618
225,2003,493,0,625
47,2046,486,0,628
47,2944,503,0,628
2046,2944,502,0,628
195,605,501,0,630
2729,2983,511,0,634
72,319,515,0,640
72,1867,509,0,640
72,2099,508,0,640
319,1867,511,0,640
319,2099,516,0,640
1867,2099,509,0,640
2263,2590,517,0,644
1938,2241,511,0,645
102,196,522,0,648
588,1811,516,0,652
588,2529,521,0,652
1811,2529,504,0,652
1380,2188,513,0,655
1898,3057,520,0,656
2634,2672,529,0,659
2555,2647,525,0,666
2555,3076,525,0,666
2647,3076,525,0,666
1246,2614,515,0,667
856,3085,550,0,671
108,2108,552,0,684
108,3068,545,0,684
2108,3068,543,0,684
647,2381,551,0,685
3,148,547,0,688
3,2842,546,0,688
148,2842,561,0,688
1165,2190,547,0,698
1169,2051,547,0,702
2248,2731,571,0,713
2248,2773,564,0,713
2731,2773,567,0,713
121,2136,570,0,714
76,957,575,0,715
1445,2608,566,0,716
982,2599,571,0,717
1997,2342,598,0,723
205,2621,602,0,734
2129,2276,591,0,735
157,2010,583,0,743
25,890,591,0,751
1850,1892,603,0,752
430,1754,594,0,762
430,3049,613,0,762
1754,3049,613,0,762
269,1237,598,0,763
2243,2567,605,0,766
245,2050,615,0,768
74,2891,606,0,771
808,2164,613,0,773
335,1814,614,0,776
1838,2606,614,0,777
769,2039,625,0,781
769,2178,627,0,781
2039,2178,620,0,781
342,1981,626,0,784
5,2020,623,0,787
5,2771,639,0,787
2020,2771,629,0,787
727,2682,634,0,788
1830,2374,622,0,792
1830,3000,621,0,792
2374,3000,614,0,792
1846,3027,636,0,794
363,2006,626,0,795
281,1201,643,0,802
281,2832,642,0,802
1201,2832,639,0,802
2723,2795,642,0,803
20,1800,639,0,806
20,2948,651,0,806
1800,2948,654,0,806
204,2061,644,0,809
213,2083,647,0,810
222,1998,641,0,811
222,2345,644,0,811
222,3061,640,0,811
1998,2345,632,0,811
1998,3061,636,0,811
2345,3061,639,0,811
116,2952,653,0,816
361,1980,635,0,817
1177,1356,644,0,820
1177,2939,640,0,820
1356,2939,656,0,820
266,2566,656,0,830
2125,2594,647,0,831
48,2030,661,0,833
48,2372,652,0,833
2030,2372,680,0,833
670,2396,677,0,834
1896,1995,662,0,844
1896,2778,664,0,844
1995,2778,666,0,844
156,1110,688,0,848
114,2414,683,0,849
1020,2068,667,0,851
111,2498,667,0,855
111,2892,695,0,855
2498,2892,691,0,855
23,1193,695,0,860
23,1433,697,0,860
1193,1433,685,0,860
656,2699,689,0,861
46,2032,688,0,870
1948,2591,710,0,871
13,70,704,0,884
13,118,689,0,884
70,118,706,0,884
2542,2604,691,0,886
1240,2601,697,0,891
2871,2915,695,0,895
405,2360,703,0,896
405,2869,752,0,896
2360,2869,736,0,896
1788,1937,709,0,902
1788,2954,723,0,902
1937,2954,721,0,902
79,1921,711,0,904
706,943,727,0,906
669,2487,736,0,908
576,1913,714,0,911
1019,1511,736,0,915
1019,2461,719,0,915
1511,2461,745,0,915
170,822,722,0,925
170,2000,764,0,925
822,2000,761,0,925
638,1117,747,0,932
454,720,732,0,937
454,2576,748,0,937
720,2576,746,0,937
1984,2449,749,0,940
308,2475,757,0,941
42,231,740,0,943
42,462,742,0,943
42,613,743,0,943
231,462,750,0,943
231,613,755,0,943
462,613,757,0,943
243,1260,747,0,945
243,2029,744,0,945
1260,2029,736,0,945
177,396,748,0,948
168,2268,752,0,949
764,2940,749,0,950
88,2626,758,0,953
1150,1160,756,0,956
2168,2500,752,0,962
282,758,764,0,967
1130,2105,773,0,969
1545,1765,757,0,972
744,1180,890,0,981
744,2338,768,0,981
1180,2338,875,0,981
377,1044,786,0,984
377,1761,784,0,984
1044,1761,773,0,984
207,2283,766,0,988
103,2480,774,0,999
466,2605,806,0,1004
119,2401,799,0,1006
221,1214,809,0,1009
507,2560,811,0,1013
364,1295,821,0,1032
2644,2716,802,0,1034
92,299,821,0,1045
258,2960,841,0,1050
1958,2785,842,0,1051
