i,j,distance,min,max
351,2241,-1,26982,27627
351,2540,-1,26981,27627
102,351,-1,26979,27627
196,351,-1,26979,27627
351,588,-1,26975,27627
351,1811,-1,26975,27627
351,2529,-1,26975,27627
351,2629,-1,26973,27627
351,1380,-1,26972,27627
351,2188,-1,26972,27627
351,1898,-1,26971,27627
351,3057,-1,26971,27627
351,481,-1,26969,27627
351,2634,-1,26968,27627
351,2672,-1,26968,27627
351,1172,-1,26967,27627
351,2553,-1,26966,27627
147,351,-1,26965,27627
351,2990,-1,26964,27627
351,2555,-1,26961,27627
351,2647,-1,26961,27627
351,3076,-1,26961,27627
351,1246,-1,26960,27627
351,2614,-1,26960,27627
351,2187,-1,26958,27627
351,856,-1,26956,27627
351,3085,-1,26956,27627
351,766,-1,26953,27627
351,1897,-1,26952,27627
351,2736,-1,26950,27627
351,2415,-1,26949,27627
351,3037,-1,26946,27627
351,418,-1,26945,27627
351,3054,-1,26944,27627
108,351,-1,26943,27627
351,2108,-1,26943,27627
351,3068,-1,26943,27627
351,647,-1,26942,27627
351,2381,-1,26942,27627
351,2067,-1,26941,27627
3,351,-1,26939,27627
148,351,-1,26939,27627
351,2842,-1,26939,27627
351,1009,-1,26938,27627
351,2476,-1,26937,27627
351,799,-1,26936,27627
351,1018,-1,26934,27627
351,2060,-1,26933,27627
351,2882,-1,26932,27627
351,644,-1,26931,27627
351,1165,-1,26929,27627
351,2190,-1,26929,27627
351,1326,-1,26927,27627
351,1169,-1,26925,27627
351,2051,-1,26925,27627
351,2665,-1,26920,27627
351,2641,-1,26919,27627
351,2059,-1,26916,27627
351,2248,-1,26914,27627
351,2731,-1,26914,27627
351,2773,-1,26914,27627
121,351,-1,26913,27627
351,2136,-1,26913,27627
76,351,-1,26912,27627
351,957,-1,26912,27627
351,1445,-1,26911,27627
351,2608,-1,26911,27627
351,982,-1,26910,27627
351,2599,-1,26910,27627
68,351,-1,26908,27627
82,351,-1,26907,27627
49,351,-1,26906,27627
351,1997,-1,26904,27627
351,2342,-1,26904,27627
351,897,-1,26902,27627
351,2260,-1,26899,27627
351,2290,-1,26894,27627
205,351,-1,26893,27627
351,2621,-1,26893,27627
351,2129,-1,26892,27627
351,2276,-1,26892,27627
60,351,-1,26891,27627
351,2145,-1,26890,27627
351,421,-1,26887,27627
157,351,-1,26884,27627
351,2010,-1,26884,27627
6,351,-1,26881,27627
351,3006,-1,26877,27627
25,351,-1,26876,27627
351,890,-1,26876,27627
351,1850,-1,26875,27627
351,1892,-1,26875,27627
351,2546,-1,26874,27627
351,1935,-1,26869,27627
351,950,-1,26868,27627
326,351,-1,26867,27627
351,430,-1,26865,27627
351,1754,-1,26865,27627
351,3049,-1,26865,27627
269,351,-1,26864,27627
351,1237,-1,26864,27627
351,2619,-1,26863,27627
351,634,-1,26862,27627
351,2243,-1,26861,27627
351,2567,-1,26861,27627
185,351,-1,26860,27627
245,351,-1,26859,27627
351,2050,-1,26859,27627
351,399,-1,26858,27627
351,1786,-1,26857,27627
74,351,-1,26856,27627
351,2891,-1,26856,27627
351,808,-1,26854,27627
351,2164,-1,26854,27627
335,351,-1,26851,27627
351,1814,-1,26851,27627
351,1838,-1,26850,27627
351,2606,-1,26850,27627
351,2826,-1,26849,27627
348,351,-1,26848,27627
351,933,-1,26847,27627
351,769,-1,26846,27627
351,2039,-1,26846,27627
351,2178,-1,26846,27627
351,608,-1,26845,27627
351,756,-1,26844,27627
342,351,-1,26843,27627
351,1981,-1,26843,27627
351,1848,-1,26841,27627
5,351,-1,26840,27627
351,2020,-1,26840,27627
351,2771,-1,26840,27627
351,727,-1,26839,27627
351,2682,-1,26839,27627
351,848,-1,26837,27627
351,1830,-1,26835,27627
351,2374,-1,26835,27627
351,3000,-1,26835,27627
351,1923,-1,26834,27627
351,1846,-1,26833,27627
351,3027,-1,26833,27627
351,363,-1,26832,27627
351,2006,-1,26832,27627
351,1257,-1,26831,27627
351,2971,-1,26830,27627
351,1907,-1,26829,27627
351,1755,-1,26828,27627
296,351,-1,26827,27627
281,351,-1,26825,27627
351,1201,-1,26825,27627
351,2832,-1,26825,27627
351,2723,-1,26824,27627
351,2795,-1,26824,27627
20,351,-1,26821,27627
351,1800,-1,26821,27627
351,2948,-1,26821,27627
204,351,-1,26818,27627
351,2061,-1,26818,27627
213,351,-1,26817,27627
351,2083,-1,26817,27627
222,351,-1,26816,27627
351,1998,-1,26816,27627
351,2345,-1,26816,27627
351,3061,-1,26816,27627
351,2170,-1,26815,27627
351,2013,-1,26813,27627
351,2411,-1,26812,27627
116,351,-1,26811,27627
351,2952,-1,26811,27627
351,361,-1,26810,27627
351,1980,-1,26810,27627
351,1350,-1,26809,27627
